status,passDate,text
House Second Readers,,"LC 44 1527 H. R. 1660- 1 -House Resolution 1660By: Representative Davis of the 87th A RESOLUTIONProposing an amendment to the Constitution of the State of Georgia so as to authorize the county authorities of DeKalb County, upon the request of the Board of Education of DeKalb County, to be directed  to levy, in addition to all other taxes now levied by law, a tax not exceeding three mills for educational purposes regarding ad valorem property taxes for education for DeKalb County, subject to certain requirements and conditions; to provide for a short title; to provide for related matters; to provide for the repeal of Ga. L. 1943, p. 20, and Ga. L. 1977, p. 1606; to provide for the submission of this amendment for ratification or rejection; and for other purposes.8BE IT RESOLVED BY THE GENERAL ASSEMBLY OF GEORGIA:9SECTION 1.10This resolution shall be known and may be cited as the ""DeKalb County Tax Liberation Amendment."" SECTION 2.13Article VIII, Section VI, Paragraph I of the Constitution is amended by adding a new subparagraph to read as follows:15(e)  The provisions of subparagraphs (a) through (d) of this paragraph and Article XI, Section I, Paragraph IV to the contrary notwithstanding:17(1)  Ga. L. 1943, p. 20, and Ga. L. 1977, p. 1606, and any amendments thereto, shall stand repealed;19(2)  Upon the request of the Board of Edu cation of DeKalb County, the county authorities thereof are hereby directed to levy, in addition  to all other taxes now levied by law, a tax not exceeding three mills for educational purposes on all the taxable property throughout the entire county, including territory embraced in the independent school systems, the same to be appropriated to the use of the County Board of Education and to the educational work directed by them; LC 44 1527 H. R. 1660- 2 -(3)  Such tax shall only be levied countywide and the proceeds shall only be available to the DeKalb County School District, and any independent school districts located in the27county shall be excluded from receipt of such proceeds; and (4)  The DeKalb County School District and any independent school district located wholly or partially in DeKalb County sh all not be required to increase the amount of funds that must be contributed toward state equalization grants for education, be subject to any form of penalty or additional requirement, or be in any way treated differently by law with respect to any provision of this subparagraph.33SECTION 3.34The above proposed amendment to the Constitution shall be published and submitted as provided in Article X, Section I, Paragraph  II of the Constitution.  The ballot submitting the above proposed amendment shall have written or printed thereon the following: ""(  )  YES38  (  )  NO39 40 41 42 43Shall the Constitution of Georgia be amended so  as to authorize the county authorities of DeKalb County, upon the request of the Board of Education of  DeKalb County, to be directed to levy, in addition to all other taxes now  levied by law, a tax not exceeding three mills for educational purposes  regarding ad valorem property taxes  for education for DeKalb County, subject to certain requirements and conditions?"" All persons desiring to vote in favor of ratifying the proposed amendment shall vote ""Yes."" All persons desiring to vote against ratifying  the proposed amendment shall vote ""No.""  If such amendment shall be ratified as provided in said Paragraph of the Constitution, it shall become a part of the Constitution of this state. "
House Passed/Adopted By Substitute,2020-06-26,"LC 41 2598S S. B. 289 (SUB)- 1 -The House Committee on Judiciary offers the following substitute to SB 289: A BILL TO BE ENTITLEDAN ACTTo amend Title 48 of the Official Code of Georgia Annotated, relating to revenue and taxation, so as to require that all questions of law decided by a court or the Georgia Tax Tribunal on matters arising from the state board of equalization or arising from refunds and appeals of state administration of Title 48 be  decided with due deference to any rule which has been properly promulgated pursuant to Code Section 50-13-1 and without deference to any determination or interpretation, whether  written or unwritten, that may have been made on the matter by the Department of Revenue; to amend Chapter 13A of Title 50 of the Official Code of Georgia Annotated, relating to tax tribunals, so as to require that all questions of law decided by the Georgia Tax Tribunal be decided with due deference to any rule which has been properly promulgated pursuant to Code Section 50-13-1 and without deference to any determination or interpretation, whether written or unwritten, that may have been made on the matter by the Department of Revenue; to provide for related matters; to provide an effective date; to provide for applicability; to repeal conflicting laws; and for other purposes.14BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:15SECTION 1.16Title 48 of the Official Code of Georgia Annotated, relating to revenue and taxation, is amended by adding a new paragraph to Code S ection 48-1-2, relating to definitions, to read as follows:19(8.1)  As used in this title, the term 'due deference' means: (A)  A recognition of the experience, technical competence, and specialized knowledge of the department and the public process by which its rules are promulgated; and (B)  In cases when the taxpayer's interpretation and the department's interpretation are equally reasonable, deferring to the interpretation of the department. LC 41 2598S S. B. 289 (SUB)- 2 -SECTION 2.25Said title is further amended by revising subsection (c) of Code Section 48-2-18, relating to the State Board of Equalization and duties, as follows:27(c)  As chairperson and chief administrative officer of the board, the commissioner shall furnish to the board all necessary records and files and in this capacity may compel the attendance of witnesses and the production of  books and records or other documents as the commissioner is empowered to do in the administration of the tax laws.  After final approval by the State Board of Equalization of the digest of propos ed assessments made by the commissioner and after any adjustments by the board as authorized by this Code section are made, the commissioner shall notify within 30 days each taxpayer in writing of the proposed assessment of its property.  At the same time, the commissioner shall notify in writing the board of tax assessors of such county, as outlined in Code Section 48-5-511, of the total proposed assessment of the propert y located within the county of taxpayers who are required to return their property to the commissioner.  If any such taxpayer notifies the commissioner and the board of tax assessors in any such county of its intent to dispute a portion of the proposed assessment within 20 days after receipt of the notice, the county board of tax assessors shall include in the county digest only the undisputed amount of the assessment, and the taxpayer may challenge the commissioner's proposed assessment in an appeal filed in the Superior Court of Fulton County or with the Georgia Tax Tribunal in accordance with Chapter 13A of Title 50 within 30 days of receipt of the notice.  In any such appeal to the superior court, the taxpayer shall have the right of discovery as provided in Chapter 11 of Title 9, the 'Georgia Civil Practice Act.'  In any such appeal to the Georgia Tax Tribunal, discovery shall be as provided in Chapter 13A of Title 50, the 'Georgia Tax Tribunal Act of 2012.'  All questions of law d ecided by a court or the Georgia Tax Tribunal pursuant to this subsection, including interpretations of constitutional, statutory, and regulatory provisions, shall be made with due deference to any rule which has been properly promulgated pursuant to Code Section 50-13-1 and without deference to any determination or interpretation, whether writte n or unwritten, that may have been made on the matter by the department. Upon conclusion of the appeal, the taxpayer shall remit to the appropriate counties any additional taxes owed, with interest at the rate provided by law for judgments.  Such interest shall accrue from the date the taxes would have been due absent the appeal to the date the additional taxes are remitted. SECTION 3.57Said title is further amended by adding a new paragraph to subsection (c) of Code Section , relating to refunds, to read as follows:59 20LC 41 2598S S. B. 289 (SUB)- 3 -(7)  In an action for a refund pursuant to pa ragraph (4) of this subsection, all questions of law decided by a court or the Georgia Tax Tribunal, including interpretations of constitutional, statutory, and regulatory provisions, shall be made with due deference to any rule which has been properly promulgated pursuant to Code Section 50-13-1 and without deference to any determination or interpretation, whether written or unwritten, that may have been made on the matter by the department. SECTION 4.66Said title is further amended by adding a new subsection to Code Section 48-2-59, relating to appeals, payment of taxes admittedly owed, bond, and costs, to read as follows: (e)  In an action pursuant to subsection (a) of this Code section, all questions of law decided by a court or the Georgia Tax Tribunal, including interpretations of constitutional, statutory, and regulatory provisions, shall be made with due deference to any rule which has been properly promulgated pursuant to  Code Section 50-13-1 and without deference to any determination or interpretation, whether written or unwritten, that may have been made on the matter by the department. SECTION 5.75Chapter 13A of Title 50 of the Official Code  of Georgia Annotated, relating to tax tribunals, is amended by revising subsection (a) of Code Section 50-13A-14, relating to conduct of trials, evidence, and recordings, as follows:78(a)(1)  Trials in proceedings before the tribuna l shall be de novo and without a jury.  All questions of law decided by the tribunal, including interpretations of constitutional, statutory, and regulatory provisions, shall be ma de with due deference to any rule which has been properly promulgated pursuant to Code Section 50-13-1 and without deference to any determination or interpretation, whether written or unwritten, that may have been made on the matter by the Department of Revenue. Hearings shall be open to the public, but on motion of any party, if such party shows good cause to protect certain information from being disclosed to the public, the tribunal judge may issue a protective order or an order closing part or all of a hearing to the public.87(2)  As used in this subsection, the term 'due deference' means: (A)  A recognition of the experience, technical competence, and specialized knowledge of the department and the public process by which its rules are promulgated; and (B)  In cases when the taxpayer's interpretation and the department's interpretation are equally reasonable, deferring to the interpretation of the department. LC 41 2598S S. B. 289 (SUB)- 4 -SECTION 6.93This Act shall become effective upon its appr oval by the Governor or upon its becoming law without such approval, and shall be applicable to all proceedings commenced before the Georgia Tax Tribunal or a superior court of this state on or after such date.96SECTION 7.97All laws and parts of laws in conflict with this Act are repealed.98"
House Read and Adopted,2020-06-26,"LC 112 0570 H. R. 1692- 1 -House Resolution 1692By: Representatives Carter of the 92 nd, Kendrick of the 93 rd, Shannon of the 84 th, Nguyen ofthe 89th, Scott of the 76th, and others A RESOLUTIONHonoring the life and memory of Joyce DuPree White; and for other purposes. WHEREAS, the State of Georgia mourns the lo ss of one of its most distinguished citizens with the passing of Joyce DuPree White on April 2, 2020, owing to complications associated with COVID-19; and4WHEREAS, Joyce DuPree White was born  on August 20, 1946, in Tampa, Florida, a beloved daughter of Juanita Casellas DuPree and Ruben DuPree; and6WHEREAS, a woman of deep and abiding faith, Joyce was an active member of St. Peter Claver, her home church, and Corpus Christi Catholic Church in Stone Mountain; and WHEREAS, she was united in love and marriage to her husband, Andre, and was blessed with four remarkable children, Andre, Richard, Andrea, and Raulnina, and four wonderful grandchildren, Alexandria, Lauren, Miles, and Marlee; and11WHEREAS, she gave inspiration to many through her high ideals, morals, and deep concern for her fellow citizens, and the devotion, patience, and understanding she demonstrated to her family and friends were admired by others; and WHEREAS, she was a person of magnanimous strengths with an unimpeachable reputation for integrity, intelligence, fairness, and kindness, and by the example she made of her life, she made this world a better place in which to live; and WHEREAS, a compassionate and generous woman, Joyce will long be remembered for her love of family, friendship, and community and will be missed by all who had the great fortune of knowing her.20 20LC 112 0570 H. R. 1692- 2 -NOW, THEREFORE, BE IT RESOLVED BY  THE HOUSE OF REPRESENTATIVES that the members of this body join in honoring the life and memory of Joyce DuPree White and express their deepest and most sincere regret at her passing. BE IT FURTHER RESOLVED that the Clerk of the House of Representatives is authorized and directed to make an appropriate copy of th is resolution available for distribution to the family of Joyce DuPree White. "
"Senate Conference Committee Appointed 56th, 23rd, 7th",2020-06-26,"LC 39 2706S The Senate Committee on Public Safety offered the following substitute to HB 1020: A BILL TO BE ENTITLEDAN ACTTo amend Title 40 of the Official Code of Georgia Annotated, relating to motor vehicles and traffic, so as to reduce the number of requi red hours in the intervention component of DUI Alcohol or Drug Use Risk Reduction Programs; to allow licensed driver training schools to conduct on-the-road testing; to provide for eligibility for limited driving permits; to provide for related matters; to provide for an effective date and applicability; to repeal conflicting laws; and for other purposes.6BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:7SECTION 1.8Title 40 of the Official Code of Georgia Annotated, relating to motor vehicles and traffic, is amended in Code Section 40-5-1, relating to definitions, by revising paragraph (10) as follows:11(10)  'Intervention component' means a program which delivers therapeutic education about alcohol and drug use and driving and peer group counseling concerning alcohol and drug use over a period of 20  hours utilizing a methodology and curriculum approved and certified by the Department of Driver Services for the DUI Alcohol or Drug Use Risk Reduction Programs under subsection (e) of Code Section 40-5-83. SECTION 2.17Said title is further amended in Code Section 40-5-27, relating to examination of applicants for drivers' licenses, by revising subsection (d) as follows: (d)(1)  The department shall authorize licensed driver training schools to conduct knowledge tests, on-the-road driving skills tests, and other tests required for issuance of a driver's license as provided in this subsection.  The department shall, prior to approving a licensed driver training school to conduct tests as provided in this subsection, make a determination that the school has been licensed for a minimum of two years and has conducted driver education courses on a full-time basis for such two-year period and that LC 39 2706S such school meets all other standards which the department may establish as a condition for approval to conduct such tests.  The department shall authorize a driver training school licensed pursuant to Chapter 13 of Title 43 and approved by the department to administer the on-the-road driving skills testing provided for in this Code section, provided that the an applicant who completes driver training instruction with a driver training school shall be limited to testing provided by such school. has successfully completed: (A)(i)  A classroom or online driver trai ning course licensed by the department and which includes a minimum of 30 class hours of instruction; and (ii)  Six hours of private in-car instruction provided by a licensed instructor employed by the licensed driver training school administering such on-the-road driving skills test.37(B)  For any applicant 18 years of age or ol der, a minimum of six hours of private in-car instruction provided by a licensed instructor employed by the licensed driver training school administering such on-the-road driving skills test. (2)  The department may establish by rules and regulations the type of tests or demonstrations to be made by applicants  for any Class P instruction permit, Class C driver's license, or Class D driver's license under this Code section. (3)  The department may authorize public and private high schools to conduct knowledge tests required for issuance of a Class P instruction permit or Class D driver's license or both.46SECTION 3.47Said title is further amended in Code Section 40-5-64, relating to limited driving permits for certain offenders, by revising paragraph (1) of subsection (a) as follows:49(a)  To whom issued.50(1)  Notwithstanding any contrary provision of this Code section or Code Section , 40-5-63, 40-5-75, 40-5-121, or 42-8-111, any person who has not been previously convicted or adjudicated delinquent for a violation of Code Section 40-6-391 within five years, as measured from the dates of previous arrests for which convictions were obtained or pleas of nolo contendere were accepted to the date of the current arrest, may apply for a limited driving permit when that person's driver's license had a suspension imposed prior to July 1, 2015, under Code Section 40-5-22 or that person's driver's license has been su spended in accordance with subsection (d) of Code Section , paragraph (1) of subsection (a) of Code Section 40-5-63, paragraph (1) of subsection (a) of Code Section 40-5-67.2, paragraph (1) of subsection (a) of Code Section , or subsection (a) of Code Section 40-5-57.1, when the person is 18 years of age LC 39 2706S or older and his or her license was suspended for exceeding the speed limit by 24 miles per hour or more but less than 34 miles per hour, and the sentencing judge, in his or her discretion, decides it is reasonable to issue a limited driving permit. SECTION 4.65This Act shall become effective on September 1, 2020, and shall apply to offenses committed on or after that date.67SECTION 5.68All laws and parts of laws in conflict with this Act are repealed.69"
House Read and Adopted,2020-06-26,"LC 112 0548 H. R. 1685- 1 -House Resolution 1685By: Representatives Thomas of the 56 th, Cannon of the 58th, Hugley of the 136 th, Schofieldof the 60th, Davis of the 87th, and others A RESOLUTIONHonoring the life and memory of Breonna Taylor; and for other purposes. WHEREAS, the State of Georgia continues to mourn the untimely, unnecessary, and unjust police killing of Breonna Taylor on March 13, 2020; and3WHEREAS, an award-winning EMT and model citizen, until the time of her death, Breonna was an essential worker for two hospitals, serving selflessly in the fight against COVID-19; and6WHEREAS, on March 13, 2020, Breonna Taylor, a Black woman from the South, was shot eight times during a no-knock raid on her home that was conducted by a division of the Louisville Kentucky Police Department; and WHEREAS, Breonna Taylor gave inspiration to many through her high ideals, morals, and deep concern for her fellow citizens, and the devotion, patience, and understanding she demonstrated to her family and friends were admired by others; and WHEREAS, she was a person of magnanimous strengths with an unimpeachable reputation for integrity, intelligence, fairness, and kindness, and by the example she made of her life, she made this world a better place in which to live; and WHEREAS, a compassionate and generous woman, Breonna will be greatly missed by those who knew and loved her and remembered by the thousands of freedom fighters across the country marching for her and countless other victims of police brutality; and WHEREAS, #SayHerName is an internationally known saying created by activists and community members who have been brutalized by unjust circumstances to bring attention to police-involved killings.21 20LC 112 0548 H. R. 1685- 2 -NOW, THEREFORE, BE IT RESOLVED BY  THE HOUSE OF REPRESENTATIVES that the members of this body #SayHerName and join in honoring the life and memory of Breonna Taylor and express their deepest and most sincere regret at her passing. BE IT FURTHER RESOLVED that the Clerk of the House of Representatives is authorized and directed to make an appropriate copy of th is resolution available for distribution to the family of Breonna Taylor.  "
House Read and Adopted,2020-06-26,"LC 112 0463 H. R. 1687- 1 -House Resolution 1687By: Representative Hatchett of the 150th A RESOLUTIONRecognizing and commending Mayor Phil Best on his outstanding service as president of the Georgia Municipal Association; and for other purposes.2WHEREAS, Mayor Phil Best has long been recognized by the citizens of this state for the3vital role that he has played in leadership and his deep personal commitment to the welfare of the citizens of Georgia; and5WHEREAS, he has diligently and conscientiously devoted innumerable hours of his time, talents, and energy toward the betterment of his community and state, as evidenced dramatically by his superlative service with the Georgia Municipal Association (GMA); and WHEREAS, during his tenure as president of GMA, Mayor Best strongly advocated for GMA's 20 Under 40 Initiative as well as the GMA Youth Advisory Council, which has been used as an advisory committee on several projects; and WHEREAS, following his departure as president of GMA, Mayor Best will continue to serve as mayor of Dublin, Georgia, guiding the city toward continued improvement and prosperity; and14WHEREAS, Mayor Best's significant organizational and leadership talents, remarkable patience and diplomacy, keen sense of vision, a nd sensitivity to the needs of the citizens of this state have earned him the respect and admiration of his colleagues and associates; and WHEREAS, he is a person of magnanimous strengths with an unimpeachable reputation for integrity, intelligence, fairness, and kindness; and19WHEREAS, Mayor Best has served with honor and distinction with GMA, and his vision and unyielding commitment have set the standard for public service; and LC 112 0463 H. R. 1687- 2 -WHEREAS, it is abundantly fitting and proper that the outstanding accomplishments of this remarkable and distinguished Georgian be appropriately recognized. NOW, THEREFORE, BE IT RESOLVED BY THE HOUSE OF REPRESENTATIVES that the members of this body recognize and commend Mayor Phil Best for his efficient, effective, unselfish, and dedicated public service to the State of Georgia; congratulate him upon his departure as president of the Georgia Municipal Association; and extend the most sincere best wishes for continued health and happiness.28BE IT FURTHER RESOLVED that the Clerk of the House of Representatives is authorized and directed to make an appropriate copy of this resolution available for distribution to Mayor Phil Best.31"
Senate Read and Adopted,2020-06-26,"LC 112 0554 S. R. 1047- 1 -Senate Resolution 1047By:  Senators Orrock of the 36th, Williams of the 39th, Jordan of the 6th, Butler of the 55th,  Rahman of the 5th and others  A RESOLUTIONHonoring the life and memory of Constance Winifred Curry; and for other purposes. WHEREAS, the State of Georgia mourns the lo ss of one of its most distinguished citizens with the passing of Constance Winifred Curry on June 20, 2020, at the age of 86; and3WHEREAS, after studying abroad as a Fulbright Scholar, Constance returned to Atlanta in , where she was the first white woman appoi nted to the executive board of the Student Nonviolent Coordinating Committee (SNCC); and WHEREAS, from 1964 to 1975, she worked as a field representative for the American Friends Services Committee, and from 1975 to 1990, she served as Atlanta's director of Human Services; and WHEREAS, she received numerous accolades for her distinguished record of service, which included recognition for her work  as a Fulbright Fellow in France and as a Fellow of the Carter G. Woodson Institute, as well as grants from the Southern Regional Council and the Mississippi Humanities Council; and WHEREAS, following her retirement, Constance wrote  Silver Rights, a book detailing the14life of the Carter family in Drew, Mississippi, and their struggle with civil rights; and WHEREAS, a warrior for social justice  across the country, her home in Midtown has attracted dignitaries, legislators, novelists, historians, friends of the civil rights movement, and hundreds of cats; and18WHEREAS, she gave inspiration to many through her high ideals, morals, and deep concern for her fellow citizens, and the devotion, patience, and understanding she demonstrated to her family and friends were admired by others; and LC 112 0554 S. R. 1047- 2 -WHEREAS, she was a person of magnanimous strengths with an unimpeachable reputation for integrity, intelligence, fairness, and kindness, and by the example she made of her life, she made this world a better place in which to live; and WHEREAS, a compassionate and generous woman, Constance will long be remembered for her love of family, friendship, and community and will be missed by all who had the great fortune of knowing her.27NOW, THEREFORE, BE IT RESOLVED BY THE SENATE that the members of this body join in honoring the life and memory of Constance Winifred Curry and express their deepest and most sincere regret at her passing. BE IT FURTHER RESOLVED that the Secretary of the Senate is authorized and directed31to make an appropriate copy of this resolution available for distribution to the family of Constance Winifred Curry.33"
House First Readers,,"LC 39 2717 H. B. 1256- 1 -House Bill 1256By: Representatives Buckner of the 137th and Wilson of the 80th A BILL TO BE ENTITLEDAN ACTTo amend Article 1 of Chapter 7 of Title 52 of the Official Code of Georgia Annotated, relating to general provisions relative to registration, operation, and sale of watercraft, so as to require completion of a boater education program in order to operate and rent or lease certain vessels; to provide for standards for such education program; to provide for the phase in of certain requirements; to provide for rela ted matters; to repeal conflicting laws; and for other purposes.6BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:7SECTION 1.8Article 1 of Chapter 7 of Title 52 of the O fficial Code of Georgia Annotated, relating to general provisions relative to registration, operation, and sale of watercraft, is amended by revising Code Section 52-7-8.3, relating to operation of watercraft, identification, and operation by minors, as follows: (a)  A person 16 years of age or older may ope rate any vessel or personal watercraft on any of the waters of this state if such person has met the applicable requirements of Code Section 52-7-22, and such person has in such vessel proper identification.16(b)  A person 12 through 15 years of age may operate a personal watercraft or Class A vessel on any of the waters of this state in compliance with the provisions of this article if such person:19(1)  Is accompanied by an adult 18 years of age or older who is authorized to operate such vessel under the provisions of subsection (a) of this Code section; or21(2)  Has completed a boating education course approved by the department program set forth in Code Section 52-7-22.23(c)  No person between 12 through 15 years of age may operate a Class 1, Class 2, or Class 3 vessel.25 20LC 39 2717 H. B. 1256- 2 -(d)  No person under the age of 12 years shall operate any Class 1, 2, or 3 vessel or any personal watercraft on any of the waters of this state, and no such person shall operate any Class A vessel utilizing mechanical means of propulsion exceeding 30 horsepower.  Such person may operate a Class A vessel, other than a personal watercraft, utilizing mechanical means of propulsion not exceeding 30 horsepower only where such person is accompanied by an adult 18 years of age or older who is authorized to operate such vessel under the provisions of subsection (a) of this Code section.32(e)  No person having ownership or control of a vessel shall permit another person to operate such vessel in violation of this Code section.34(f)  No person shall rent, lease, or let for hi re any vessel ten horsepower or more to any person under 16 years of age.  On and after July 1, 2014, a A person 16 years of age or older may rent or lease any vessel personal watercraft or vessel utilizing mechanical means of ten horsepower or more if such person has completed a boating education course approved by the department program set forth in Code Section 52-7-22 This subsection39shall not apply to any person licensed by the United States Coast Guard as a master of a vessel or a nonresident who has in his or her  possession proof that he or she has completed a National Association of State Boating Law Administrators approved boater education course or equivalency examination from another state. (g)  As used in this Code section, the term: (1)  'Accompanied by' means in the physical presence within the vessel of a person who is not under the influence of alcohol, toxic vapors, or drugs to a degree which would constitute a violation of Code Section 52-7-12 were such person operating the vessel.47(2)  'Personal watercraft' shall have the same meaning as set forth in Code Section (3)  'Proper identification' shall have the  same meaning as in subsection (d) of Code Section 3-3-23, relating to furnishing of alcoholic beverages.51SECTION 2.52Said article is further amended by revising Code Section 52-7-22, relating to comprehensive boating educational programs, required completion, and exception, as follows: (a)(1)  The department shall establish a comprehensive boating education program and may seek the cooperation of boatmen, the federal government, and other states.  Such education program shall require successful completion of: (A)  A boating safety course similar to those approved by the National Association of State Boating Law Administrators or similar organization; or (B)  A boater safety standards test developed by the department. LC 39 2717 H. B. 1256- 3 -(2)  The department may accept moneys made available under federal safety programs and may shall issue boating certificates to persons who complete courses in satisfy the boating education requirements of this Code section (b)  Effective July 1, 2014, and except Except as otherwise provided by this chapter, anyone born on or after January 1, 1998, who operates any motorized vessel on the waters of this state shall complete a boating education course approved by the department prior to the operation of such vessel.68(c)  Effective July 1, 2022, and except as otherwise provided by this chapter, anyone born on or after January 1, 1993, who operates any vessel utilizing mechanical means of propulsion of ten horsepower or more on the waters of this state shall complete the boating education program described in subsection (a)  of this Code section prior to the operation72of such vessel.73(d)  Effective July 1, 2023, and except as otherwise provided by this chapter, anyone born on or after January 1, 1988, who operates any vessel utilizing mechanical means of propulsion of ten horsepower or more on the waters of this state shall complete the boating education program described in subsection (a) of this Code section prior to the operation of such vessel.78(e)  Effective July 1, 2024, and except as otherwise provided by this chapter, anyone born on or after January 1, 1983, who operates any vessel utilizing mechanical means of propulsion of ten horsepower or more on the waters of this state shall complete the boating education program described in subsection (a)  of this Code section prior to the operation82of such vessel.83(f)  Effective July 1, 2025, and except as otherw ise provided by this chapter, anyone born on or after January 1, 1978, who operates any vessel utilizing mechanical means of propulsion of ten horsepower or more on the waters of this state shall complete the boating education program described in subsection (a)  of this Code section prior to the operation87of such vessel.88(c)(g)  A person shall be exempt from the provisions of subsection (b) requirements of this Code section if he or she is:90(1)  Licensed by the United States Coast Guard as a master of a vessel; (2)  Operating such vessel on a private lake or pond; or92(3)  A nonresident who has in his or her possession proof that he or she has completed a National Association of State Boating Law Administrators approved boater education course or the equivalency from another state. SECTION 3.96All laws and parts of laws in conflict with this Act are repealed.97"
House Second Readers,,"LC 47 0543 H. B. 1254- 1 -House Bill 1254By: Representative McLaurin of the 51st A BILL TO BE ENTITLEDAN ACTTo amend Article 3 of Chapter 5 of Title 44 of the Official Code of Georgia Annotated, relating to covenants and warranties, so as to  provide that a general warranty of title shall not limit or encumber rights arising from the relationship of landlord and tenant; to provide for related matters; to repeal conflicting laws; and for other purposes. BE IT ENACTED BY THE GENERAL ASSEMBLY OF GEORGIA:5SECTION 1.6Article 3 of Chapter 5 of Title 44 of the Official Code of Georgia Annotated, relating to covenants and warranties, is amended by revising Code Section 44-5-62, relating to scope of general warranty, as follows:944-5-62.10A general warranty of title against the claims of all persons includes covenants of a right to sell, of quiet enjoyment, and of freedom from encumbrances.  No covenant in this Code section shall be construed to be the same as any common-law covenant of quiet enjoyment between landlord and tenant, nor shall any lim it on the applicability of a covenant provided for under this Code section be construed to apply to limit any common-law covenant of quiet enjoyment, express or implied, of any tenant in any claim against his or her landlord. SECTION 2.17All laws and parts of laws in conflict with this Act are repealed.18"
Senate Read and Adopted,2020-06-26,"LC 47 0604 S. R. 1046- 1 -Senate Resolution 1046By:  Senators Tate of the 38th, Sims of th e 12th, Black of the 8th,  Lucas of the 26th and Davenport of the 44th A RESOLUTIONHonoring the life and memory of Charlie Andrew Hicks, Sr.; and for other purposes. WHEREAS, the State of Georgia mourns the lo ss of one of its most distinguished citizens with the passing Charlie Andrew Hicks, Sr., a celebrated educator, businessman, and public servant; and4WHEREAS, he was born in rural Reynolds, Georgia, in Taylor County on September 20, , to Reverend Elijah and Viola Newsome Williams Hicks; and WHEREAS, he was united in love and marriage to Evelyn Elaine Walton and they were blessed with three remarkable children, Cassandra, Charlie, and Clarence; nine wonderful grandchildren; and five fantastic great-grandchildren; and9WHEREAS, a man of deep and abiding faith, Charlie was an active member of Saint Phillip African Methodist Episcopal Church in Butler, Georgia, where he served as Secretary, Steward, and Trustee Board Chairman; and WHEREAS, a resourceful youngster with an en trepreneurial spirit, he began his own streetside shoeshine business, earning the nickname, ""Boots""; and WHEREAS, he graduated from Reynolds Industrial High School in 1945 and entered Fort Valley State College, where, in addition to his studies, he worked in the school's infirmary, was a campus mail delivery person, and personally assisted school president, C. V. Troupe; he was later named Fort Valley State College  Alumnus of the Year and was inducted into the school's Hall of Fame; and  WHEREAS, after receiving his vocational agricultural degree, Charlie worked as a teacher at Butler High School in Butler, Georgia, later serving as assistant principal there for 12 years; and22 20LC 47 0604 S. R. 1046- 2 -WHEREAS, after earning a master's degree in administration at the Tuskegee Institute and pursuing additional studies at the University of Georgia and the University of Tennessee, he took the position of principal at Eureka Elem entary & High School (later named R. L. McDougald Elementary & High School); and  WHEREAS, encouraged and inspired by educator and mortician Robert L. McDougald, he founded the Reynolds Funeral Home in Reynolds, Georgia, in 1955, which expanded over the years to surrounding counties and became the HICKS & Sons Mortuary, Inc.; and WHEREAS, not one to sit still for long, Charlie served as the general agent for his eponymous insurance agency; hosted a long-running Sunday morning radio show,  House of31the HICKES; and was a co-founder of the United Membership Burial Society, Inc.; and  WHEREAS, he served his country as a member of the United States Army Reserve until he was honorably discharged in 1962; and34WHEREAS, Charlie served as both vice president and then the final president of the Georgia Teachers and Education Association before integration led to such organization being merged into the Georgia Association of Educators, where he served as the first Black state field representative; in addition, Charlie was the first Black person elected to the National Education Field Services Association of the National Education Association; and39WHEREAS, he twice served as a delegate to the National Democratic Convention; was the first Black candidate elected to the city counc il of Reynolds, Georgia, as well as the first Black candidate elected to the Taylor County Board of Education; and was the first Black chairperson of such board of education; and43WHEREAS, Charlie was an active member of his community, as evidenced by his work with many organizations, including the Taylor County Certified Literate Community Program; the Rural Housing Authority of Taylor County; Tuskegee Institute's GA Club; and the Beta Delta Sigma Chapter of Phi Beta Sigma Fraternity, Inc.; and WHEREAS, he gave inspiration to many through his high ideals, morals, and deep concern for his fellow citizens, and the devotion, patience, and understanding he demonstrated to his family and friends were admired by others; and LC 47 0604 S. R. 1046- 3 -WHEREAS, he was a person of magnanimous strengths with an unimpeachable reputation for integrity, intelligence, fairness, and kindness, and by the example he made of his life, he made this world a better place in which to live; and WHEREAS, a compassionate and generous ma n, Charlie will long be remembered for his love of family, friendship, and community and will be missed by all who had the great fortune of knowing him. NOW, THEREFORE, BE IT RESOLVED BY THE SENATE that the members of this body join in remembering the life Charlie Andrew Hicks, Sr., and honoring his tireless dedication to serving his community, state, and country. BE IT FURTHER RESOLVED that the Secretary of the Senate is authorized and directed60to make an appropriate copy of this resolution available for distribution to the family of Charlie Andrew Hicks, Sr.62"
